,High,Low,Medium
High,0.46153846153846156,0.19230769230769232,0.34615384615384615
Low,0.29015544041450775,0.44559585492227977,0.26424870466321243
Medium,0.3532608695652174,0.22826086956521738,0.41847826086956524
