fulltimeemployees,auditrisk,boardrisk,compensationrisk,shareholderrightsrisk,overallrisk,payoutratio,beta,trailingpe,forwardpe,volume,regularmarketvolume,averagevolume,averagevolume10days,averagedailyvolume10day,bid,bidsize,asksize,marketcap,fiftytwoweeklow,fiftytwoweekhigh,pricetosalestrailing12months,twohundreddayaverage,trailingannualdividendrate,trailingannualdividendyield,enterprisevalue,profitmargins,floatshares,sharesoutstanding,sharesshort,sharesshortpriormonth,sharespercentsharesout,heldpercentinsiders,heldpercentinstitutions,shortratio,shortpercentoffloat,impliedsharesoutstanding,bookvalue,pricetobook,lastfiscalyearend,nextfiscalyearend,netincometocommon,trailingeps,forwardeps,enterprisetorevenue,enterprisetoebitda,52weekchange,targetmedianprice,recommendationmean,numberofanalystopinions,totalcash,totalcashpershare,ebitda,totaldebt,quickratio,currentratio,totalrevenue,debttoequity,revenuepershare,returnonassets,returnonequity,grossprofits,freecashflow,operatingcashflow,revenuegrowth,grossmargins,ebitdamargins,operatingmargins,regularmarketchangepercent,postmarketchangepercent,postmarketchange,regularmarketchange,epstrailingtwelvemonths,epsforward,epscurrentyear,priceepscurrentyear,fiftydayaveragechange,fiftydayaveragechangepercent,twohundreddayaveragechange,twohundreddayaveragechangepercent,averagedailyvolume3month,fiftytwoweeklowchange,fiftytwoweeklowchangepercent,fiftytwoweekhighchange,fiftytwoweekhighchangepercent,fiftytwoweekchangepercent,trailingpegratio,ticker,dividendrate,dividendyield,fiveyearavgdividendyield,earningsquarterlygrowth,lastdividendvalue,earningsgrowth,esg_risk_level,regularmarketdayrange_min,regularmarketdayrange_max,fiftytwoweekrange_min,fiftytwoweekrange_max
23000.0,1.0,2.0,4.0,4.0,1.0,0.3989,1.097,33.436657,26.11579,1282303.0,1282303.0,1802314.0,1222130.0,1222130.0,123.71,9.0,11.0,30187694080.0,100.47,144.41,3.5110137,125.15635,1.48,0.011814482,31502692352.0,0.10537,241705958.0,243351008.0,3104073.0,3363729.0,0.0128,0.0022200001,0.97352,1.34,0.0163,243351008.0,44.437,2.7915926,1735603200.0,1767139200.0,906000000.0,3.71,4.75,3.664,18.241,-0.11620122,139.0,1.95238,16.0,1059000000.0,4.352,1727000064.0,2136000000.0,1.296,1.886,8597999616.0,19.323,35.398,0.04441,0.08505,3228000000.0,985500032.0,1207000064.0,0.018,0.37544,0.20086001,0.121309996,-0.973891,-0.2821492,-0.3500061,-1.21999,3.71,4.75,4.6255,26.818722,5.6346054,0.047583386,-1.1063461,-0.0088397125,1802314.0,23.580002,0.23469694,-20.36,-0.14098747,-11.620122,2.3997,XYL,1.6,1.29,1.15,0.105,0.4,0.095,Low,123.58,124.71,100.47,144.41
11380.0,8.0,6.0,4.0,1.0,3.0,0.6507,0.397,20.508823,18.206268,3077561.0,3077561.0,4251958.0,4910050.0,4910050.0,65.42,1.0,1.0,40217546752.0,51.97,73.38,2.936016,66.9686,2.21,0.031931803,71469514752.0,0.14097,575399458.0,576761024.0,8834925.0,8507451.0,0.0153,0.00191,0.89058995,2.1,0.0175,576761024.0,34.349,2.0300448,1735603200.0,1767139200.0,1931000064.0,3.4,3.83,5.218,13.339,0.29754376,77.0,1.82353,16.0,1139000064.0,1.975,5358000128.0,32391000064.0,0.516,0.796,13697999872.0,163.558,24.127,0.02172,0.102589995,6048000000.0,-3678500096.0,4618999808.0,0.07,0.44152,0.39115003,0.17435,0.7513427,-1.76395,-1.23,0.5200043,3.4,3.83,3.81247,18.289982,-0.20659637,-0.0029540523,2.761406,0.04123434,4251958.0,17.760002,0.34173566,-3.649994,-0.049740992,29.754375,2.747,XEL,2.28,3.27,2.97,-0.01,0.57,-0.043,Medium,68.56,69.82,51.97,73.38
28000.0,4.0,4.0,7.0,9.0,8.0,0.2674,1.325,24.18984,18.021914,1335792.0,1335792.0,2550946.0,2471760.0,2471760.0,90.09,9.0,9.0,9459000320.0,65.25,107.81,1.3579886,86.39745,1.0,0.010999889,18739910656.0,0.061680004,79968618.0,104554000.0,7064662.0,5888161.0,0.067600004,0.21907,0.6769,2.36,0.086,104554000.0,-3.44,-26.29942,1735603200.0,1767139200.0,429608992.0,3.74,5.02,2.69,11.151,-0.032509863,104.5,1.47059,16.0,2070086016.0,19.994,1680557952.0,12184398848.0,1.003,1.082,6965449216.0,143.13962443438913,64.148,0.05034,0.30343038607803835,4773491200.0,494949632.0,1244882944.0,-0.087,0.68531,0.24127,0.16419001,-0.48399782,-0.28739,-0.260002,-0.44000244,3.74,5.02,4.84056,18.689987,7.4573975,0.08983452,4.072548,0.04713736,2550946.0,25.220001,0.38651344,-17.339996,-0.16083848,-3.2509863,3.4714,WYNN,1.0,1.11,2.28,-0.496,0.25,-0.469,Medium,89.06,90.965,65.25,107.81
49000.0,3.0,1.0,3.0,6.0,2.0,0.3314,0.738,35.954464171035944,17.082365,372316.0,372316.0,677669.0,447510.0,447510.0,308.64,1.0,1.0,30639269888.0,248.09,344.14,3.1226325,310.06094,2.68,0.008699321,35111268352.0,-0.0054,98761124.0,99149800.0,1237978.0,1310628.0,0.0125,0.0023999999,0.95959,1.37,0.0161,99149800.0,81.977,3.769594,1735603200.0,1767139200.0,-53000000.0,-0.46,18.09,3.578,13.737,0.23297286,370.0,1.88889,17.0,1536999936.0,15.502,2556000000.0,5928000000.0,0.292,1.155,9811999744.0,72.169,96.909,0.04535,-0.00484,4392000000.0,688875008.0,1452999936.0,-0.05,0.44762,0.26049998,0.16059,0.30836552,-1.08084,-3.34,0.9499817,-0.46,18.09,16.60817,18.606504,-9.623016,-0.030199992,-1.0409546,-0.003357258,677669.0,60.929993,0.24559633,-35.120026,-0.10205156,23.297287,3.274436165048544,WTW,3.68,1.19,1.32,0.237,0.92,0.273,Low,304.52,309.52,248.09,344.14
5829.0,4.0,2.0,1.0,6.0,2.0,1.0349,0.685,31.715054,28.224882,6770151.0,6770151.0,7451533.0,5636970.0,5636970.0,57.62,8.0,8.0,72027381760.0,40.06,61.67,6.4989066,53.97305,1.925,0.03333333,101751169024.0,0.20608,1214254214.0,1221010048.0,19625011.0,21043893.0,0.0161,0.00449,0.88588995,2.44,0.018,1221010048.0,10.198,5.7844677,1735603200.0,1767139200.0,2280999936.0,1.86,2.09,9.181,17.864,0.45045483,63.0,2.27273,20.0,100000000.0,0.082,5696000000.0,27410999296.0,0.245,0.405,11082999808.0,184.4,9.086,0.03994,0.16197,6642999808.0,803500032.0,5173000192.0,0.119,0.59939,0.51394004,0.35627,2.14719,-0.7797981,-0.4600029,1.24,1.86,2.09,2.14415,27.512068,0.538002,0.009204168,5.0169525,0.09295292,7451533.0,18.93,0.47254118,-2.6799965,-0.043457054,45.045483,2.5564,WMB,2.0,3.39,5.51,0.093,0.5,0.081,Medium,57.62,59.09,40.06,61.67
9400.0,1.0,2.0,2.0,6.0,2.0,1.6531,1.167,51.489796,29.337208,2831472.0,2831472.0,3943933.0,3362310.0,3362310.0,24.95,13.0,11.0,18298638336.0,24.1,34.03,2.5805442,29.8232,0.81,0.03207921,22927638528.0,0.051469997,722292128.0,725273024.0,11682120.0,10738025.0,0.0161,0.00302,0.90219,2.64,0.019199999,733910976.0,13.291,1.8982769,1735603200.0,1767139200.0,365000000.0,0.49,0.86,3.233,20.077,-0.15221775,34.0,1.78571,13.0,560000000.0,0.772,1142000000.0,5189000192.0,1.1,2.04,7090999808.0,53.8,9.748,0.02404,0.03706,1292999936.0,483500000.0,954000000.0,-0.018,0.18234,0.16104999,0.09189,-0.0792097,0.911218,0.2299,-0.0200005,0.49,0.86,0.65104,38.753376,-1.6592007,-0.061705094,-4.5932007,-0.15401435,3943933.0,1.1299992,0.04688793,-8.799999,-0.25859535,-15.221775,1.6969,WY,0.84,3.33,2.54,-0.272,0.21,-0.296,Low,24.92,25.285,24.1,34.03
51000.0,7.0,8.0,8.0,5.0,7.0,0.0,1.481,17.18493,5.6958,5763168.0,5763168.0,8330882.0,6598350.0,6598350.0,50.1,8.0,8.0,17506699264.0,28.83,61.640213,1.1218647,47.39574,0.0,0.0,111947652623.51515,0.10548,346024540.0,348878016.0,29812134.0,32213986.0,0.0855,0.00756,1.04462,2.91,0.0964,348878016.0,14.834,3.3827693,1719532800.0,1751068800.0,1062000000.0,2.92,8.81,4.751080808080808,18.22890170940171,-0.12807798,58.0,1.6,21.0,16926729962.181818,513.3033595959596,2289999872.0,25336492798.303032,0.954,1.56,15605000192.0,143.13962443438913,45.562,0.055609997,0.13558,4456999936.0,1406375040.0,1311000064.0,0.05422088353413655,0.28561002,0.14675,0.15403,0.6821833,0.119367,0.0598984,0.34000015,2.92,8.81,4.86213,10.32058,8.135799,0.19350587,2.7842598,0.058744937,8330882.0,21.35,0.7405481,-11.460213,-0.18592104,-12.807798,3.274436165048544,WDC,0.4,0.8,3.23,0.24962642369020502,0.377929,0.22651258581235703,Low,49.0,50.385,28.83,61.640213
10600.0,7.0,9.0,3.0,4.0,6.0,0.1287,1.142,32.274727,27.339096,333289.0,333289.0,923774.0,549510.0,549510.0,200.0,8.0,12.0,14770695168.0,187.43,352.33,5.1007304,280.7876,0.82,0.0039330423,14673888256.0,0.16134001,71328077.0,71845400.0,2517634.0,1427531.0,0.035,0.0061299996,0.97967005,2.28,0.0461,71845400.0,37.369,5.501619,1735603200.0,1767139200.0,467200000.0,6.37,7.52,5.067,19.397,-0.37218678,280.0,1.30769,11.0,404200000.0,5.626,756499968.0,307400000.0,1.848,2.767,2895800064.0,11.457,39.805,0.1033,0.17421,1000200000.0,233512496.0,664600000.0,0.004,0.3454,0.26124,0.18438,-1.39096,0.418309,0.860001,-2.90001,6.37,7.52,6.29656,32.65116,-9.556198,-0.044417232,-75.1976,-0.26780954,923774.0,18.160004,0.096889526,-146.73999,-0.41648453,-37.218678,3.4535,WST,0.84,0.41,0.23,-0.221,0.21,-0.206,,204.025,206.815,187.43,352.33
685.0,3.0,4.0,4.0,8.0,5.0,1.4886,0.926,84.755684,81.96153,2183274.0,2183274.0,3180237.0,2589290.0,2589290.0,144.78,11.0,8.0,97550016512.0,99.95,158.55,11.403404,136.06226,2.68,0.018243704,111686107136.0,0.12654,653081819.0,653952000.0,11855223.0,8983026.0,0.018099999,0.00041,0.99164003,3.72,0.0209,653952000.0,52.09,2.8636973,1735603200.0,1767139200.0,1082491008.0,1.76,1.82,13.056,35.412,0.47942078,166.0,1.7,20.0,3501850880.0,5.355,3153949952.0,17012786176.0,1.593,1.826,8554464256.0,49.196,13.791,0.01729,0.0348,3351672064.0,2852324608.0,2448572928.0,0.303,0.39180002,0.36868998,0.17048,1.54527,0.905012,1.35001,2.27,1.76,1.82,1.62,92.080246,1.1752014,0.00794083,13.107742,0.09633636,3180237.0,49.22,0.49244624,-9.380005,-0.05916118,47.942078,3.3754,WELL,2.68,1.8,3.17,1.029,0.67,0.803,Low,147.49,149.72,99.95,158.55
215367.0,5.0,3.0,1.0,6.0,2.0,0.27879998,1.123,13.098922,13.265939,9235163.0,9235163.0,18768240.0,13736080.0,13736080.0,71.6,14.0,8.0,237001949184.0,50.15,81.5,3.0678275,68.10485,1.55,0.021120043,204007112704.0,0.25885,3246437492.0,3254180096.0,39818374.0,29706379.0,0.012200001,0.00088,0.78537005,1.72,0.0123000005,3254180096.0,49.815,1.4620095,1735603200.0,1767139200.0,18908999680.0,5.56,5.49,2.641,18.22890170940171,0.22444522,77.5,1.95833,22.0,382282989568.0,117.474,7307376581.197453,328864006144.0,1.0957666666666668,1.615925,77254000640.0,143.13962443438913,23.018,0.01031,0.11021,77254000640.0,3298284917.769556,4123000064.0,-0.036,0.0,0.0,0.27715,-0.763043,-0.06865722,-0.05000305,-0.559998,5.56,5.49,5.64925,12.891977,2.4120026,0.034252644,4.725151,0.06938054,18768240.0,22.68,0.45224327,-8.669998,-0.10638034,22.444523,1.8028,WFC,1.6,2.2,2.78,0.06,0.4,0.158,High,71.9,73.186,50.15,81.5
