address1,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,irWebsite,executiveTeam,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,tradeable,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,symbol,language,region,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,exchange,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,hasPrePostMarketData,firstTradeDateMilliseconds,postMarketChangePercent,postMarketPrice,postMarketChange,regularMarketChange,regularMarketDayRange,fullExchangeName,averageDailyVolume3Month,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,dividendDate,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,cryptoTradeable,marketState,shortName,longName,regularMarketChangePercent,regularMarketPrice,corporateActions,postMarketTime,regularMarketTime,trailingPegRatio,Ticker,address2,displayName,fax,ipoExpectedDate,prevName,nameChangeDate,industrySymbol
3M Center,Saint Paul,MN,55144-1000,United States,651 733 1110,https://www.3m.com,Conglomerates,conglomerates,Conglomerates,Industrials,industrials,Industrials,"3M Company provides diversified technology services in the Americas, the Asia Pacific, Europe, the Middle East, Africa, and internationally. It operates through three segments: Safety and Industrial, Transportation and Electronics, and Consumer. The Safety and Industrial segment offers industrial abrasives and finishing for metalworking applications; autobody repair solutions; industrial specialty products, such as personal hygiene products, masking, and packaging materials; electrical products and materials for construction and maintenance, power distribution, and electrical original equipment manufacturers; structural adhesives and tapes; respiratory, hearing, eye, and fall protection solutions; and natural and color-coated mineral granules for shingles. The Transportation and Electronics segment provides ceramic solutions; attachment/bonding, films, sound, and temperature management for transportation vehicles; format graphic films for advertising and fleet signage; reflective signage for highway and vehicle safety; light management films and electronics assembly solutions; chip packaging and interconnection solutions; semiconductor production materials; and data center solutions. The Consumer segment offers cleaning products for the home; consumer air quality products; picture hanging accessories; retail abrasives, paint accessories, and safety products; stationery and office products; automotive appearance products; and consumer bandages, tapes, braces, and supports. The company offers its products through e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company was founded in 1902 and is headquartered in Saint Paul, Minnesota.",61500.0,"[{'maxAge': 1, 'name': 'Mr. William M. Brown', 'age': 61, 'title': 'CEO & Chairman', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 7523738, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Anurag  Maheshwari', 'age': 50, 'title': 'CFO & Executive VP', 'yearBorn': 1974, 'fiscalYear': 2024, 'totalPay': 4116023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Theresa E. Reinseth', 'age': 51, 'title': 'Senior VP, Corporate Controller & Chief Accounting Officer', 'yearBorn': 1973, 'fiscalYear': 2024, 'totalPay': 1206463, 'exercisedValue': 0, 'unexercisedValue': 121882}, {'maxAge': 1, 'name': 'Mr. Christian T. Goralski Jr.', 'age': 52, 'title': 'Group President of Safety & Industrial', 'yearBorn': 1972, 'fiscalYear': 2024, 'totalPay': 1839635, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Wendy A. Bauer', 'age': 48, 'title': 'Group President of Transportation & Electronics Business Group', 'yearBorn': 1976, 'fiscalYear': 2024, 'totalPay': 2390863, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Dr. John P. Banovetz', 'age': 56, 'title': 'Executive VP, CTO & Environmental Responsibility', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Mark W. Murphy II', 'age': 56, 'title': 'Executive VP and Chief Information & Digital Officer', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Chinmay  Trivedi', 'title': 'Senior Vice President of Investor Relations and Financial Planning & Analysis', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael A. Duran', 'title': 'Senior VP and Chief Ethics & Compliance Officer', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevin H. Rhodes J.D.', 'age': 61, 'title': 'Executive VP, Chief Legal Affairs Officer & Secretary', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 1777666, 'exercisedValue': 0, 'unexercisedValue': 0}]",1.0,7.0,6.0,4.0,4.0,1746057600.0,1735603200.0,http://phx.corporate-ir.net/phoenix.zhtml?c=80574&p=irol-IRHome,[],86400,2,148.74,149.43,148.95,153.28,148.74,149.43,148.95,153.28,2.92,1.91,1747958400.0,0.3524,4.21,1.076,19.09102,19.381012,2983960,2983960,4272229,3380010,3380010,151.0,154.0,8,10,82400894976,96.76,156.35,3.3615181,142.5096,136.97115,2.83,0.019026488,USD,False,89569951744.0,0.17791,537347181,538180992,9854362,10942821,1743379200,1745971200,0.0183,0.00117,0.7367,2.08,0.0184,538180992,8.295,18.458107,1735603200,1767139200,1743379200,0.203,4419999744,8.02,7.9,1196:1000,1711929600.0,3.654,16.811,0.45527995,0.12250078,0.73,1739491200.0,EQUITY,153.11,184.0,100.0,150.92,161.61,2.15789,buy,18.0,7024000000.0,13.051,5328000000.0,14133999616.0,1.114,1.657,24512999424,312.492,44.732,0.05448,0.93824,10101999616,374500000.0,973000000.0,0.221,-0.01,0.41210997,0.21735,0.20674999,USD,MMM,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_289194,America/New_York,EDT,-14400000,us_market,False,True,-252322200000,-0.0849095,152.98,-0.130005,4.37,148.95 - 153.28,NYSE,4272229,56.35,0.58236873,96.76 - 156.35,-3.2400055,-0.020722771,45.527996,1749686400.0,1745317806.0,1753363800,1753709400,1745326800.0,1745326800.0,True,8.02,7.9,7.66076,19.986267,10.600403,0.07438378,16.138855,0.11782668,15,0,2.2 - Buy,False,CLOSED,3M Company,3M Company,2.93801,153.11,"[{'header': 'Dividend', 'message': 'MMM announced a cash dividend of 0.73 with an ex-date of May. 23, 2025', 'meta': {'eventType': 'DIVIDEND', 'dateEpochMs': 1747972800000, 'amount': '0.73'}}]",1747439999,1747425602,3.5625,MMM,,,,,,,
11270 West Park Place,Milwaukee,WI,53224,United States,414 359 4000,https://www.aosmith.com,Specialty Industrial Machinery,specialty-industrial-machinery,Specialty Industrial Machinery,Industrials,industrials,Industrials,"A. O. Smith Corporation manufactures and markets residential and commercial gas and electric water heaters, boilers, heat pumps, tanks, and water treatment products in North America, China, Europe, and India. The company offers water heaters for residences, restaurants, hotels, office buildings, laundries, car washes, and small businesses; boilers for hospitals, schools, hotels, and other large commercial buildings, as well as homes, apartments, and condominiums; and water treatment products comprising point-of-entry water softeners, well water solutions, and whole-home water filtration products, and point-of-use carbon and reverse osmosis products for residences, restaurants, hotels, and offices. It also provides commercial water treatment and filtration products; expansion tanks, commercial solar water heating systems, swimming pool and spa heaters, and related products and parts; and electric wall-hung, gas tankless, combi-boiler, and heat pump and solar water heaters. The company offers its products under the A. O. Smith, State, Lochinvar, Hague, Water-Right, Master Water, Atlantic Filter, and Water Tec brands. It distributes its products through independent wholesale plumbing distributors, as well as to retail channels consisting of hardware and home center chains, and manufacturer representative firms; and offers Aquasana branded products directly to consumers through e-commerce channels. A. O. Smith Corporation was founded in 1874 and is headquartered in Milwaukee, Wisconsin.",12700.0,"[{'maxAge': 1, 'name': 'Mr. Kevin J. Wheeler', 'age': 64, 'title': 'Chairman & CEO', 'yearBorn': 1960, 'fiscalYear': 2024, 'totalPay': 4188794, 'exercisedValue': 988196, 'unexercisedValue': 7816101}, {'maxAge': 1, 'name': 'Mr. Stephen M. Shafer', 'age': 48, 'title': 'President & COO', 'yearBorn': 1976, 'fiscalYear': 2024, 'totalPay': 1636023, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Charles T. Lauber', 'age': 61, 'title': 'Executive VP & CFO', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 1616955, 'exercisedValue': 0, 'unexercisedValue': 1805849}, {'maxAge': 1, 'name': 'Mr. James F. Stern J.D.', 'age': 61, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 1405861, 'exercisedValue': 0, 'unexercisedValue': 1722084}, {'maxAge': 1, 'name': ""Mr. Stephen D. O'Brien"", 'age': 54, 'title': 'SVP and President & GM of North America Water Heating', 'yearBorn': 1970, 'fiscalYear': 2024, 'totalPay': 830096, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Robert J. Heideman Ph.D.', 'age': 57, 'title': 'Senior VP & CTO', 'yearBorn': 1967, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. S. Melissa Scheppele', 'age': 61, 'title': 'Senior VP & Chief Information Officer', 'yearBorn': 1963, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Helen E. Gurholt', 'age': 49, 'title': 'Vice President of Investor Relations and Financial Planning & Analysis', 'yearBorn': 1975, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Curtis E. Selby', 'age': 56, 'title': 'Senior Vice President of Human Resources & Public Affairs', 'yearBorn': 1968, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Paul W. Jones', 'age': 75, 'title': 'Vice President of Corporate Development & Strategy', 'yearBorn': 1949, 'fiscalYear': 2024, 'totalPay': 24625, 'exercisedValue': 0, 'unexercisedValue': 0}]",4.0,10.0,7.0,10.0,10.0,1746057600.0,1735603200.0,http://investor.shareholder.com/aosmith/,[],86400,2,69.42,69.48,69.295,70.53,69.42,69.48,69.295,70.53,1.36,1.93,1745971200.0,0.3687,1.71,1.278,19.698324,17.32678,1536065,1536065,1476383,1226150,1226150,63.57,71.21,9,9,10021525504,58.83,92.45,2.6350245,66.0834,72.94615,1.32,0.019014694,USD,False,10117129216.0,0.13741,114100771,116239000,5850777,5080654,1743379200,1745971200,0.041199997,0.00775,0.99406,3.35,0.0507,142108992,13.054,5.4021754,1735603200,1767139200,1743379200,-0.075,522600000,3.58,4.07,2:1,1475712000.0,2.66,13.158,-0.17818439,0.12250078,0.34,1745971200.0,EQUITY,70.52,84.0,59.0,75.42667,77.0,2.46667,buy,12.0,200200000.0,1.409,768899968.0,295800000.0,0.954,1.612,3803200000,15.945,26.211,0.13352999,0.27969998,1446800000,344950016.0,513900000.0,-0.05,-0.015,0.38042,0.20216998,0.18965,USD,AOS,en-US,US,Equity,Nasdaq Real Time Price,True,HIGH,NYQ,finmb_997111,America/New_York,EDT,-14400000,us_market,False,True,433776600000,-1.67328,69.34,-1.18,1.1,69.295 - 70.53,NYSE,1476383,11.689995,0.19870804,58.83 - 92.45,-21.93,-0.23720932,-17.81844,1747267200.0,1745924103.0,1753101000,1753446600,1745935200.0,1745935200.0,True,3.58,4.07,3.77489,18.68134,4.4365997,0.06713638,-2.426155,-0.033259533,15,0,2.5 - Buy,False,CLOSED,A.O. Smith Corporation,A. O. Smith Corporation,1.58456,70.52,[],1747439583,1747425602,1.8405,AOS,Suite 170,A. O. Smith,,,,,
100 Abbott Park Road,North Chicago,IL,60064-6400,United States,224 667 6100,https://www.abbott.com,Medical Devices,medical-devices,Medical Devices,Healthcare,healthcare,Healthcare,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, hypertriglyceridemia, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. It also offers laboratory and transfusion medicine systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion serology testing; molecular diagnostics polymerase chain reaction instrument systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, and detect and measure infectious agents; point of care systems; cartridges for testing blood gas, chemistry, electrolytes, coagulation, and immunoassay; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; and drug and alcohol test. In addition, the company provides pediatric and adult nutritional products and infant formula; rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; diabetes care products, such as glucose and blood glucose monitoring systems; and neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",114000.0,"[{'maxAge': 1, 'name': 'Mr. Robert B. Ford', 'age': 50, 'title': 'Chairman of the Board, President & CEO', 'yearBorn': 1974, 'fiscalYear': 2022, 'totalPay': 4980248, 'exercisedValue': 9807163, 'unexercisedValue': 64376952}, {'maxAge': 1, 'name': 'Mr. Philip P. Boudreau', 'age': 51, 'title': 'CFO & Executive VP of Finance', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2183487, 'exercisedValue': 0, 'unexercisedValue': 814501}, {'maxAge': 1, 'name': 'Mr. Hubert L. Allen J.D.', 'age': 58, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 2546024, 'exercisedValue': 11026223, 'unexercisedValue': 47916800}, {'maxAge': 1, 'name': 'Mr. Daniel Gesua Sive Salvadori', 'age': 45, 'title': 'Executive VP and Group President of Established Pharmaceuticals & Nutritional Products', 'yearBorn': 1979, 'fiscalYear': 2022, 'totalPay': 1891684, 'exercisedValue': 0, 'unexercisedValue': 29351640}, {'maxAge': 1, 'name': 'Ms. Lisa D. Earnhardt', 'age': 54, 'title': 'Executive VP & Group President of Medical Devices', 'yearBorn': 1970, 'fiscalYear': 2022, 'totalPay': 2258516, 'exercisedValue': 0, 'unexercisedValue': 5997133}, {'maxAge': 1, 'name': 'Ms. Sabina  Ewing', 'age': 50, 'title': 'Senior VP of Business & Technology Services and Chief Information Officer', 'yearBorn': 1974, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Michael  Comilla', 'title': 'Vice President of Investor Relations.', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Erica L. Battaglia', 'title': 'VP and Chief Ethics & Compliance Officer', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Mary K. Moreland', 'age': 58, 'title': 'Executive Vice President of Human Resources', 'yearBorn': 1966, 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Melissa  Brotz', 'title': 'Senior Vice President of Global Marketing & External Affairs', 'fiscalYear': 2022, 'exercisedValue': 0, 'unexercisedValue': 0}]",9.0,7.0,9.0,2.0,7.0,1746057600.0,1672444800.0,http://www.abbottinvestor.com/phoenix.zhtml?c=94004&p=irol-irhome,[],86400,2,133.35,133.145,132.77,135.21,133.35,133.145,132.77,135.21,2.36,1.75,1744675200.0,0.2909,1.67,0.743,17.506495,26.124033,7108362,7108362,7218116,6104300,6104300,134.0,136.69,11,10,234530439168,99.71,141.23,5.5386934,129.8662,120.8289,2.28,0.017097862,USD,False,241228955648.0,0.31886,1729780210,1739840000,21115934,21794639,1743379200,1745971200,0.0121,0.00543,0.8047,2.69,0.012200001,1739840000,28.055,4.8048477,1735603200,1767139200,1743379200,0.082,13450999808,7.7,5.16,10000:4798,1357084800.0,5.697,21.888,0.30607498,0.12250078,0.59,1744675200.0,EQUITY,134.8,159.0,120.12,140.5696,143.12,1.89286,buy,25.0,6844000256.0,3.934,11020999680.0,13290000384.0,1.09,1.78,42344001536,27.087,24.339,0.063769996,0.30649,23708000256,6032374784.0,8949999616.0,0.086,0.04,0.55989,0.26027,0.18091999,USD,ABT,en-US,US,Equity,Delayed Quote,True,HIGH,NYQ,finmb_247483,America/New_York,EDT,-14400000,us_market,False,True,322151400000,-0.58605975,134.01,-0.79000854,1.45,132.77 - 135.21,NYSE,7218116,35.090004,0.3519206,99.71 - 141.23,-6.4299927,-0.04552852,30.607498,1747267200.0,1744803004.0,1752669000,1753101000,1744808400.0,1744808400.0,True,7.7,5.16,5.15342,26.157387,4.9338074,0.037991468,13.9711,0.11562713,15,0,1.9 - Buy,False,CLOSED,Abbott Laboratories,Abbott Laboratories,1.08736,134.8,[],1747439746,1747425602,,ABT,Abbott Park,,,,,,
1 North Waukegan Road,North Chicago,IL,60064-6400,United States,847 932 7900,https://www.abbvie.com,Drug Manufacturers - General,drug-manufacturers-general,Drug Manufacturers - General,Healthcare,healthcare,Healthcare,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacture, commercialization, and sale of medicines and therapies worldwide. The company offers Humira, an injection for autoimmune and intestinal Behçet's diseases, generalized pustular psoriasis, and pyoderma gangrenosum; Skyrizi to treat autoimmune diseases, erythrodermic psoriasis, generalized pustular psoriasis, and palmoplantar pustulosis; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta/Venclyxto to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox therapeutic to treat neurologic diseases; Vraylar to treat schizophrenia, bipolar disorder, and depressive disorder; Duopa and Duodopa to treat Parkinson's disease; Ubrelvy to treat migraine; and Qulipta for episodic and chronic migraine, as well as other neuroscience products. In addition, the company offers Ozurdex for eye diseases; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Restasis to increase tear production; and other eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; and Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",55000.0,"[{'maxAge': 1, 'name': 'Mr. Richard A. Gonzalez', 'age': 70, 'title': 'Executive Chairman', 'yearBorn': 1954, 'fiscalYear': 2024, 'totalPay': 8063168, 'exercisedValue': 27578828, 'unexercisedValue': 45216668}, {'maxAge': 1, 'name': 'Mr. Robert A. Michael CPA', 'age': 54, 'title': 'CEO & Director', 'yearBorn': 1970, 'fiscalYear': 2024, 'totalPay': 6679500, 'exercisedValue': 2547100, 'unexercisedValue': 21018320}, {'maxAge': 1, 'name': 'Mr. Scott T. Reents', 'age': 56, 'title': 'Executive VP & CFO', 'yearBorn': 1968, 'fiscalYear': 2024, 'totalPay': 3821680, 'exercisedValue': 1641500, 'unexercisedValue': 6763109}, {'maxAge': 1, 'name': 'Dr. Azita  Saleki-Gerhardt Ph.D.', 'age': 61, 'title': 'Executive VP & COO', 'yearBorn': 1963, 'fiscalYear': 2024, 'totalPay': 4065398, 'exercisedValue': 6071501, 'unexercisedValue': 25844510}, {'maxAge': 1, 'name': 'Mr. Timothy J. Richmond', 'age': 58, 'title': 'Executive VP & Chief Human Resources Officer', 'yearBorn': 1966, 'fiscalYear': 2024, 'totalPay': 3844639, 'exercisedValue': 5277674, 'unexercisedValue': 15068566}, {'maxAge': 1, 'name': 'Mr. Jeffrey Ryan Stewart', 'age': 55, 'title': 'Executive VP & Chief Commercial Officer', 'yearBorn': 1969, 'fiscalYear': 2024, 'totalPay': 5003932, 'exercisedValue': 3067873, 'unexercisedValue': 11960284}, {'maxAge': 1, 'name': 'Dr. Roopal  Thakkar M.D.', 'age': 51, 'title': 'Executive VP of Research and Development & Chief Scientific Officer', 'yearBorn': 1973, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Elizabeth  Shea', 'title': 'Senior Vice President of Investor Relations', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Perry C. Siatis', 'age': 48, 'title': 'Executive VP, General Counsel & Secretary', 'yearBorn': 1976, 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Wulff-Erik  von Borcke', 'title': 'Senior VP & President of Oncology', 'fiscalYear': 2024, 'exercisedValue': 0, 'unexercisedValue': 0}]",6.0,5.0,2.0,9.0,7.0,1746057600.0,1735603200.0,,[],86400,2,181.68,181.3,180.52,184.07,181.68,181.3,180.52,184.07,6.56,3.56,1744675200.0,2.688,3.96,0.551,78.64103,15.170651,4923456,4923456,8163556,8766120,8766120,182.03,183.45,9,8,325052923904,153.58,218.66,5.6662006,193.7324,189.3252,6.38,0.03511669,USD,False,389943492608.0,0.073130004,1762781901,1766400000,19795764,17142376,1743379200,1745971200,0.0112,0.00103,0.745,2.02,0.0112,1766400000,0.804,228.8806,1735603200,1767139200,1743379200,-0.061,4155000064,2.34,12.13,,,6.797,14.249,0.11825478,0.12250078,1.64,1744675200.0,EQUITY,184.02,250.0,173.0,210.56705,205.0,2.0,buy,27.0,5176000000.0,2.93,27366000640.0,70024003584.0,0.485,0.76,57366999040,4789.603,32.434,0.08339,0.884,40739000320,16941375488.0,16401000448.0,-0.063,0.084,0.71015,0.47702998,0.30427998,USD,ABBV,en-US,US,Equity,Delayed Quote,True,HIGH,NYQ,finmb_141885706,America/New_York,EDT,-14400000,us_market,False,True,1357137000000,-0.39126247,183.3,-0.7200012,2.34001,180.52 - 184.07,NYSE,8163556,30.440002,0.19820291,153.58 - 218.66,-34.64,-0.15841946,11.825478,1747267200.0,1745581383.0,1753277400,1753709400,1745586000.0,1745586000.0,True,2.34,12.13,12.24585,15.027132,-9.712402,-0.05013308,-5.305191,-0.02802158,15,0,2.0 - Buy,False,CLOSED,AbbVie Inc.,AbbVie Inc.,1.28799,184.02,[],1747439960,1747425602,0.3934,ABBV,,AbbVie,,,,,
